"borough","communityboard","councildistrict","parkdistrict","gispropnum","location","name","omppropid","system","polygon","pooltype"
"B","306","39","B-06","B145","Outdoor","Douglas and DeGraw Pool","B145","B145-POOL-0012","POLYGON ((-73.98596160612252 40.6805516900607, -73.98608324397294 40.680366556394794, -73.98589194512724 40.680291239295336, -73.9857703042539 40.680477607365496, -73.98596160612252 40.6805516900607))","Intermediate"
"B","306","39","B-06","B145","Outdoor","Douglas and DeGraw Wading Pool","B145","B145-POOL-0011","POLYGON ((-73.98572819111946 40.68028134586164, -73.98576387364646 40.680219633532644, -73.98568767795165 40.68018753245091, -73.9856519956372 40.6802480092509, -73.98572819111946 40.68028134586164))","Wading"
"B","318","45","B-18","B248","Outdoor","David Fox / PS 251 Mini Pool","B248","B248-POOL-0015","POLYGON ((-73.92378185491351 40.63280287469384, -73.9237775978124 40.63269268789833, -73.92370199371415 40.63269430641702, -73.92370844216379 40.63280449556991, -73.92378185491351 40.63280287469384))","Mini"
"B","318","45","B-18","B236","Outdoor","Glenwood Houses Mini Pool","B236","B236-POOL-0013","POLYGON ((-73.92027542451329 40.63653137767457, -73.92019733830233 40.63643910043162, -73.92013677259261 40.63646884215574, -73.92021485875141 40.63656112214112, -73.92027542451329 40.63653137767457))","Mini"
"B","318","46","B-18","B329","Outdoor","Lindower Park Mini Pool","B329-01","B329-POOL-0022","POLYGON ((-73.91137099992315 40.61246295991967, -73.91125651583064 40.61239508752606, -73.91121273976343 40.6124387110084, -73.91132872898572 40.612507731870934, -73.91137099992315 40.61246295991967))","Mini"
"B","303","36","B-03","B269","Outdoor","JHS 57 / HS 26 Mini Pool","B269","B269-POOL-0019","POLYGON ((-73.93217101965348 40.69185680216453, -73.93215192808364 40.691755973944794, -73.93203108635971 40.691769231135495, -73.93205017893366 40.69187005937581, -73.93206094493 40.69192691963813, -73.93218178693378 40.691913662416376, -73.93217101965348 40.69185680216453))","Mini"
"B","302","35","B-02","B253","Outdoor","PS 20 Playground Mini Pool","B253","B253-POOL-0016","POLYGON ((-73.97061762023354 40.6904510705008, -73.9705999450806 40.69034202734177, -73.97052757945087 40.690349877516205, -73.97054377518172 40.6904600441481, -73.97061762023354 40.6904510705008))","Mini"
"Q","407","19","Q-11","Q458","Outdoor","Totten Wading Pool","Q458","Q458-POOL-0016","POLYGON ((-73.77458033698146 40.79239635960345, -73.77458412536413 40.79239309908642, -73.77458719710249 40.79238943014023, -73.77458883059089 40.79238675974079, -73.77459008294622 40.79238397333156, -73.77459125728065 40.79237938396222, -73.77459140225982 40.792374708832966, -73.77459051387504 40.79237008211102, -73.77458861656642 40.792365634416996, -73.7745868191335 40.79236283393872, -73.77458462064062 40.79236020377162, -73.77458164295591 40.79235744150761, -73.7745782234446 40.79235499175454, -73.77457348426815 40.79235246197704, -73.77456827740747 40.79235053282074, -73.77456273658632 40.792349253174336, -73.77455649445403 40.792348635826826, -73.77455061341905 40.792348802623074, -73.77454484371174 40.79234968373586, -73.77453933351188 40.79235125784301, -73.77453422869975 40.79235348290621, -73.77452965861647 40.79235630244689, -73.77452574437032 40.79235964196019, -73.77452258459385 40.79236341609141, -73.7745202637474 40.7923675259504, -73.7745188402457 40.79237186629267, -73.77451835120378 40.79237632372748, -73.77451884619663 40.79238095418293, -73.77452034994012 40.79238545693934, -73.77452281901881 40.79238970674177, -73.77452618630178 40.79239358369195, -73.77453035617873 40.79239698044282, -73.77453521166929 40.79239980221265, -73.77454061915313 40.79240196949572, -73.77454642480332 40.7924034216573, -73.77455059124217 40.79240398541758, -73.77455481580438 40.79240418008505, -73.77456064768104 40.79240383579325, -73.7745663326443 40.79240278882132, -73.77457172604723 40.792401066801936, -73.77457668793028 40.79239871268559, -73.77458033698146 40.79239635960345))","Wading"
"Q","411","19","Q-11","Q364","Outdoor","Marie Curie Park Mini Pool","Q364","Q364-POOL-0011","POLYGON ((-73.77160741943847 40.75694594527009, -73.77167285589117 40.756845953792975, -73.77160785144471 40.756819951531256, -73.77154389134216 40.75692107063455, -73.77160741943847 40.75694594527009))","Mini"
"Q","413","23","Q-13","Q327","Outdoor","PS 186 Playground Mini Pool","Q327","Q327-POOL-0010","POLYGON ((-73.72072214540002 40.74981452945313, -73.72070774796423 40.74976111858065, -73.72056436146931 40.749783010723945, -73.72057874946924 40.74983864495215, -73.72072214540002 40.74981452945313))","Mini"
"Q","402","26","Q-02","Q031","Outdoor","Windmuller Mini Pool","Q031","Q031-POOL-0005","POLYGON ((-73.91080333744223 40.74754352813196, -73.91081368546119 40.74748920046808, -73.91067081647209 40.747473459657186, -73.91066046597098 40.747527787306566, -73.91080333744223 40.74754352813196))","Mini"
"R","501","49","R-01","R109","Outdoor","West Brighton Wading Pool","R109","R109-POOL-0010","POLYGON ((-74.11905146297984 40.63723446653647, -74.11903577198854 40.63716967508445, -74.11894951448997 40.63717797978662, -74.11896041596245 40.63724368843174, -74.11905146297984 40.63723446653647))","Wading"
"R","501","49","R-01","R109","Outdoor","West Brighton Pool","R109","R109-POOL-0009","POLYGON ((-74.11944806955731 40.637234968357916, -74.11941535024698 40.63702962622926, -74.11919730549157 40.637045369317185, -74.11923242026316 40.63725070992349, -74.11944806955731 40.637234968357916))","Intermediate"
"R","502","50","R-02","R067","Outdoor","General Douglas MacArthur Mini Pool","R067","R067-POOL-0007","POLYGON ((-74.10069048361468 40.58586150065855, -74.1006419844412 40.585818076653325, -74.1005331018403 40.585896484249886, -74.10058511780214 40.58593545483211, -74.10069048361468 40.58586150065855))","Mini"
"R","501","49","R-01","R061","Outdoor","PS 14 Playground Mini Pool","R061","R061-POOL-0005","POLYGON ((-74.07991099196694 40.622624032028746, -74.07983770883983 40.62248238603031, -74.07974010451917 40.62251252935854, -74.07981565723841 40.62265074195903, -74.07991099196694 40.622624032028746))","Mini"
"R","502","50","R-02","R063","Outdoor","PS 46 Playground Mini Pool","R063","R063-POOL-0006","POLYGON ((-74.0816308955723 40.595246894412995, -74.08160347054769 40.595196851111666, -74.08147035125404 40.59524422752937, -74.08149960427939 40.59529565997338, -74.0816308955723 40.595246894412995))","Mini"
"M","103","2","M-03","M033","Outdoor","Hamilton Fish Wading Pool","M033","M033-POOL-0005","POLYGON ((-73.98095481990428 40.71997801049428, -73.98098359440357 40.71997973162212, -73.98101236043988 40.719977928146264, -73.98104037589667 40.719972644969964, -73.98106691875233 40.719964018852515, -73.98109130601976 40.71995227300914, -73.98111290795165 40.71993770810821, -73.98113116934564 40.71992070227434, -73.98114561783437 40.71990169127845, -73.98115587216405 40.71988119285271, -73.98116168838003 40.71985971124382, -73.98116291720085 40.71983779753984, -73.98115952769831 40.71981601725613, -73.98115160611964 40.71979492872241, -73.98113935707265 40.719775074078086, -73.98112309524463 40.719756964863016, -73.98110323712172 40.719741064906394, -73.98108029507246 40.71972778492299, -73.98100564662634 40.71970592626458, -73.98097682218385 40.71971787487232, -73.98086552621623 40.71993789869115, -73.98087817825254 40.719955568794454, -73.98095481990428 40.71997801049428))","Wading"
"Q","481","21","Q-15","Q099","Indoor","Flushing Meadows Corona Park Pool","Q099-ZN10","Q099-POOL-0006","POLYGON ((-73.83812069670134 40.752164275976334, -73.83826359358429 40.75196717917432, -73.83774524028371 40.75174984036239, -73.83760234351743 40.751946936529194, -73.83812069670134 40.752164275976334))","Olympic & Diving"
"M","104","3","M-04","M260","Indoor","Chelsea Pool","M260","M260-POOL-0032","POLYGON ((-74.00211124195569 40.74837807390657, -74.00219149496512 40.74826668159367, -74.00200853309536 40.74819044177136, -74.00192827987186 40.74830183485851, -74.00211124195569 40.74837807390657))","Intermediate"
"X","204","16","X-04","X034","Outdoor","Mullaly Wading Pool","X034","X034-POOL-0018","POLYGON ((-73.92436334618219 40.83178990956447, -73.9244080172112 40.831732270263934, -73.92432880687552 40.83170266407756, -73.92428887954301 40.83176210745161, -73.92436334618219 40.83178990956447))","Wading"
"X","204","16","X-04","X034","Outdoor","Foster Pool","X034","X034-POOL-0017","POLYGON ((-73.9243317391972 40.83187011841636, -73.9240810214763 40.83178988794846, -73.92399724785112 40.831938921393146, -73.92424432794945 40.83202191056846, -73.9243317391972 40.83187011841636))","Intermediate"
"B","301","34","B-01","B085","Indoor","Metropolitan Pool","B085","B085-POOL-0006","POLYGON ((-73.96044558102045 40.71500614105384, -73.96020641563837 40.7149129305462, -73.96014794947753 40.7149996889091, -73.96037876663927 40.715097129963546, -73.96044558102045 40.71500614105384))","Intermediate"
"M","107","6","M-07","M063","Indoor","Gertrude Ederle Pool","M063","M063-POOL-0018","POLYGON ((-73.98889991631764 40.77144302479886, -73.98878973267273 40.771395996160805, -73.98868499138774 40.771540149270955, -73.98879429531148 40.77158605229369, -73.98889991631764 40.77144302479886))","Intermediate"
"M","106","4","M-06","M130","Indoor","Constance Baker Motley Pool","M130","M130-POOL-0023","POLYGON ((-73.96528620249029 40.75641590558148, -73.96512934084232 40.756348037555725, -73.96503295012468 40.756476861626886, -73.96518981197781 40.756544729782625, -73.96528620249029 40.75641590558148))","Intermediate"
"M","110","9","M-10","M131","Indoor","Hansborough Pool","M131","M131-POOL-0024","POLYGON ((-73.93942195973301 40.81301760459306, -73.93955562980447 40.81283854688345, -73.93944564866158 40.81279115271864, -73.93931197838853 40.812970211202625, -73.93942195973301 40.81301760459306))","Intermediate"
"Q","407","19","Q-11","Q458","Outdoor","Totten Pool","Q458","Q458-POOL-0015","POLYGON ((-73.77461002225255 40.79222250436782, -73.77467240788494 40.792307105258224, -73.77477814797923 40.792262066144616, -73.77471576106979 40.79217746530856, -73.77464275343426 40.79207846083346, -73.77462248980031 40.79208867163997, -73.77441089945596 40.79217879699741, -73.77448302109842 40.792276599513876, -73.77461002225255 40.79222250436782))","Intermediate & Diving"
"M","112","10","M-12A","M037","Outdoor","Highbridge Wading Pool","M037","M037-POOL-0008","POLYGON ((-73.93353726402825 40.842851873143125, -73.93381045941142 40.842964775564816, -73.93382958454062 40.842958808164575, -73.93421362175397 40.84244398361953, -73.93420801379189 40.84242775173416, -73.93393595013053 40.842312288087534, -73.93391795013277 40.84231740338361, -73.93353165567578 40.842837349461036, -73.93353726402825 40.842851873143125))","Wading"
"M","102","3","M-02","M038","Outdoor","Tony Dapolito Pool","M038","M038-POOL-0009","POLYGON ((-74.00580360265816 40.72964335049674, -74.00564312709113 40.72962649284852, -74.00559532362347 40.72988982278573, -74.00575580218013 40.72990668140035, -74.00580360265816 40.72964335049674))","Large"
"B","301","34","B-01","B310","Outdoor","Bushwick Pool","B310","B310-POOL-0021","POLYGON ((-73.93958300359895 40.70213763185966, -73.93956344286326 40.70197355819841, -73.93929173097892 40.70199231965843, -73.93931129105138 40.70215639336544, -73.93931256076249 40.70215630758576, -73.93958300359895 40.70213763185966))","Intermediate"
"X","206","15","X-06","X236","Outdoor","Mapes Wading Pool","X236","X236-POOL-0027","POLYGON ((-73.88626280458823 40.84670312461004, -73.88630395120147 40.84664785959688, -73.8862351500453 40.84661360184694, -73.88618870578074 40.84666986836034, -73.88626280458823 40.84670312461004))","Wading"
"X","206","15","X-06","X236","Outdoor","Mapes Pool","X236","X236-POOL-0026","POLYGON ((-73.88620760448572 40.84645972094962, -73.8859826853814 40.84634586924457, -73.88586724487563 40.84648251295519, -73.88609349171574 40.84659536124335, -73.88620760448572 40.84645972094962))","Intermediate"
"M","106","4","M-06","M164","Indoor","Asser Levy Pool","M164","M164-POOL-0026","POLYGON ((-73.9757472394557 40.736219742874496, -73.97579374741302 40.7361577815166, -73.97558694359833 40.73606795183384, -73.97554042011721 40.73612992391179, -73.9757472394557 40.736219742874496))","Intermediate"
"M","106","4","M-06","M164","Outdoor","Asser Levy Wading Pool","M164","M164-POOL-0025","POLYGON ((-73.97537704308279 40.73600454021379, -73.97536880002038 40.73596256037996, -73.97529813809537 40.73592732728539, -73.97527996235159 40.73594971991459, -73.9752985911735 40.73605597662644, -73.97532470377656 40.73606804362571, -73.97537704308279 40.73600454021379))","Wading"
"B","301","33","B-01","B058","Outdoor","McCarren Park Pool","B058-ZN01","B058-POOL-0004","POLYGON ((-73.94970436686577 40.72060653723652, -73.94970785532693 40.72060595072749, -73.94971117721549 40.720604949911085, -73.94971424965955 40.720603562666945, -73.94971699333462 40.720601821378814, -73.94971933955821 40.72059977194266, -73.94972123029605 40.720597465662266, -73.94972261579434 40.72059496014856, -73.94972346168093 40.720592319322705, -73.94972374778472 40.72058960981368, -73.94972346576907 40.7205869000565, -73.94968645298594 40.72037340182793, -73.94948836699261 40.720393566658466, -73.94948651462377 40.720393655896764, -73.9494846695345 40.72039351010517, -73.94948288024821 40.72039313380749, -73.94948119883482 40.7203925369322, -73.94947967025809 40.72039173570826, -73.94947833710903 40.72039075356755, -73.94947723605884 40.72038961664099, -73.94947639785596 40.72038835736045, -73.94947584614671 40.72038700905513, -73.94940416939608 40.719968139641715, -73.9494046279711 40.71996587866292, -73.94940554570944 40.719963699832306, -73.94940690008215 40.71996165717058, -73.94940865791033 40.719959801992154, -73.9494107765519 40.719958178403296, -73.94941320271533 40.7199568269035, -73.9494158760133 40.719955780785064, -73.94941873251315 40.71995506613472, -73.94942170118702 40.719954700931396, -73.94963041639639 40.719934977612915, -73.94963381624515 40.7199341398251, -73.94963698916197 40.719932886802816, -73.94963984753545 40.719931254528205, -73.94964231321785 40.71992928529109, -73.94964431988708 40.7199270348941, -73.94964581186976 40.719924563647005, -73.94964674887353 40.719921939070524, -73.94964710598906 40.71991923319451, -73.94964687132489 40.719916519855644, -73.9496178018066 40.71971746923805, -73.94961759657893 40.719714960327664, -73.94961684804868 40.71971251151368, -73.94961557628406 40.719710192144134, -73.9496138155615 40.719708064369186, -73.9496116167289 40.719706188545246, -73.94960903774148 40.71970461692723, -73.94960615313187 40.71970339187166, -73.94960304098956 40.71970254763217, -73.94959978769721 40.719702107659714, -73.94959648437977 40.71970208460139, -73.94907607446822 40.71975209324136, -73.94907298018988 40.71975265919395, -73.94907005131918 40.719753607035784, -73.94906736835989 40.71975490888672, -73.9490650047201 40.719756529659385, -73.94906302434609 40.71975842525712, -73.94906148290548 40.71976054347491, -73.94906042186716 40.71976282669858, -73.94905987086932 40.719765211005004, -73.9490598453472 40.71976763246483, -73.94906034416891 40.71977002353931, -73.94920225700118 40.72063875766168, -73.9492033008582 40.72064194682743, -73.9492050135709 40.72064496429086, -73.94920735022491 40.72064772898628, -73.94921024814668 40.7206501670442, -73.9492136292691 40.720652213593446, -73.94921740249887 40.72065381276215, -73.94922146844641 40.720654923083046, -73.94922571824465 40.7206555147912, -73.94970436686577 40.72060653723652))","Olympic"
"X","226","11","X-13","X092","Outdoor","Van Cortlandt Wading Pool","X092-ZN03","X092-POOL-0020","POLYGON ((-73.89668190610813 40.88999983531546, -73.89674376110656 40.889875351672316, -73.89656483025435 40.889828263553376, -73.89650605581274 40.88995170349952, -73.89668190610813 40.88999983531546))","Wading"
"Q","412","27","Q-12","Q448","Indoor","Roy Wilkins Pool","Q448-ZN02","Q448-POOL-0014","POLYGON ((-73.76960783669826 40.687357868963865, -73.76967368790017 40.6872925422313, -73.76945914015147 40.68716722445415, -73.76939328767705 40.68723255196309, -73.76960783669826 40.687357868963865))","Intermediate"
"X","201","8","X-01","X045","Indoor","St. Mary's Pool","X045-ZN02","X045-POOL-0019","POLYGON ((-73.91421023756875 40.811508366100774, -73.91426688007206 40.81141035481526, -73.9140287282753 40.81133090213763, -73.91397208548891 40.81142891330742, -73.91421023756875 40.811508366100774))","Intermediate"
