"borough","communityboard","councildistrict","parkdistrict","gispropnum","location","name","omppropid","system","polygon","pooltype"
"M","103","2","M-03","M270","Outdoor","Dry Dock Wading Pool","M270","M270-POOL-0034","POLYGON ((-73.97579930374143 40.725543549318445, -73.97585404672981 40.725470018035516, -73.97579204489763 40.72544086544297, -73.97573729831348 40.72551439759648, -73.97579930374143 40.725543549318445))","Wading"
"M","111","8","M-11","M273","Outdoor","Wagner Pool","M273","M273-POOL-0036","POLYGON ((-73.93334946811149 40.802103076918904, -73.9334805391024 40.80192230898802, -73.93329023554648 40.801839312571566, -73.93316312779956 40.80202158912163, -73.93334946811149 40.802103076918904))","Intermediate"
"M","111","8","M-11","M273","Outdoor","Wagner Wading Pool","M273","M273-POOL-0035","POLYGON ((-73.93302432784478 40.80199890333167, -73.93306405139991 40.801938645190624, -73.93298872559491 40.80190394031429, -73.93294701977241 40.80196268984113, -73.93302432784478 40.80199890333167))","Wading"
"M","109","7","M-09","M190","Outdoor","Sheltering Arms Wading Pool","M190","M190-POOL-0028","POLYGON ((-73.95551277636574 40.815024892848065, -73.95554342214629 40.81497219046837, -73.95544753546426 40.81493184360374, -73.95541485083173 40.81498299361338, -73.95551277636574 40.815024892848065))","Wading"
"M","103","2","M-03","M270","Outdoor","Dry Dock Pool","M270","M270-POOL-0033","POLYGON ((-73.97566986204664 40.72538533681168, -73.97543096731624 40.725285380001544, -73.97532512901219 40.72542827896992, -73.97556037398954 40.72553378596092, -73.97566986204664 40.72538533681168))","Intermediate"
"B","307","38","B-07","B087","Outdoor","Sunset Park Pool","B087","B087-POOL-0009","POLYGON ((-74.00262716235832 40.64678917132922, -74.0020731905407 40.64732219644557, -74.00207353051307 40.647343345099806, -74.00250050739788 40.64759870814173, -74.00253004796451 40.64759688214618, -74.00308028139811 40.647067450713415, -74.00307840306108 40.64704839040352, -74.00264788168121 40.64678880794534, -74.00262716235832 40.64678917132922))","Olympic"
"R","501","49","R-01","R043","Outdoor","Lyons Pool","R043","R043-POOL-0002","POLYGON ((-74.07448680352849 40.63737356321421, -74.07444616147636 40.637114986557044, -74.07387299080835 40.637167266639075, -74.07391363303657 40.63742584439633, -74.07448680352849 40.63737356321421))","Olympic"
"Q","403","21","Q-03","Q441","Outdoor","Fisher Pool","Q441","Q441-POOL-0013","POLYGON ((-73.86940888366121 40.75900627741499, -73.86938888099604 40.758841004719024, -73.86911836439499 40.75885971907979, -73.86913992610172 40.759026183162206, -73.86940888366121 40.75900627741499))","Intermediate"
"Q","403","21","Q-03","Q441","Outdoor","Fisher Wading Pool","Q441","Q441-POOL-0012","POLYGON ((-73.86964360932379 40.758901924298975, -73.86963590136959 40.75884604009182, -73.8695624110031 40.758849522907155, -73.86956699125868 40.75890540447858, -73.86964360932379 40.758901924298975))","Wading"
"R","501","49","R-01","R008","Outdoor","Faber Pool","R008","R008-POOL-0001","POLYGON ((-74.13561074556335 40.64111971689905, -74.135102400434 40.641116404298934, -74.13510004556152 40.64132602818788, -74.13560839228772 40.64132934079834, -74.13561074556335 40.64111971689905))","Large"
"X","212","12","X-12","X196","Outdoor","Haffen Pool","X196","X196-POOL-0025","POLYGON ((-73.83937539674365 40.8743013365522, -73.83929245286377 40.874139326602844, -73.83902859795758 40.874219727349, -73.83911625411544 40.874379956584704, -73.83937539674365 40.8743013365522))","Intermediate"
"X","212","12","X-12","X196","Outdoor","Haffen Wading Pool","X196","X196-POOL-0024","POLYGON ((-73.83942993261637 40.87444743038688, -73.83940247962512 40.87438615441176, -73.8393132512824 40.87441181481449, -73.83933857561128 40.87447469882247, -73.83942993261637 40.87444743038688))","Wading"
"B","303","36","B-03","B351","Outdoor","Kosciuszko Wading Pool","B351","B351-POOL-0024","POLYGON ((-73.95035605599972 40.69104371862673, -73.95034020315154 40.69092758700001, -73.95015347444242 40.690944838450484, -73.95016705076652 40.69106096821654, -73.95035605599972 40.69104371862673))","Wading"
"M","111","8","M-11","M047","Outdoor","Thomas Jefferson Wading Pool","M047","M047-POOL-0014","POLYGON ((-73.93649848089044 40.79366869605541, -73.93667310568001 40.79343778138152, -73.93651619742259 40.79337899685146, -73.93632912646433 40.79359854190234, -73.93649848089044 40.79366869605541))","Wading"
"M","111","8","M-11","M047","Outdoor","Thomas Jefferson Pool","M047","M047-POOL-0013","POLYGON ((-73.93639914071707 40.79333348766829, -73.93564702170788 40.79301117102488, -73.93546741392112 40.79324018671837, -73.93622951517891 40.79354736182828, -73.93639914071707 40.79333348766829))","Olympic"
"R","503","51","R-03","R110","Outdoor","Tottenville Pool","R110","R110-POOL-0012","POLYGON ((-74.23533022023291 40.50569184818085, -74.23525754533169 40.50548990775863, -74.23505127553116 40.50553129925699, -74.23511802580494 40.50573280258069, -74.23533022023291 40.50569184818085))","Intermediate"
"R","503","51","R-03","R110","Outdoor","Tottenville Wading Pool","R110","R110-POOL-0011","POLYGON ((-74.2355364747414 40.50554019139541, -74.23551905353955 40.50548543424119, -74.23544730781644 40.505496539141895, -74.23546186512363 40.505553495880434, -74.2355364747414 40.50554019139541))","Wading"
"M","111","9","M-11","M058","Outdoor","Marcus Garvey Pool","M058","M058-POOL-0015","POLYGON ((-73.94366133482251 40.80529648596374, -73.94362796755118 40.80508928473394, -73.94303714493837 40.80514421828738, -73.94307051039804 40.80535141968641, -73.94366133482251 40.80529648596374))","Large"
"B","303","36","B-03","B351","Outdoor","Kosciuszko Pool","B351","B351-POOL-0023","POLYGON ((-73.95002118538844 40.69124115979664, -73.94996901770067 40.69097075622485, -73.94914921929934 40.69106745692387, -73.94920365967738 40.69134132704351, -73.95002118538844 40.69124115979664))","Olympic"
"B","308","36","B-08","B245","Indoor","St John's Pool","B245","B245-POOL-0014","POLYGON ((-73.93499996773616 40.67401945525567, -73.93501615189231 40.67390483420986, -73.93474732275217 40.67388283105238, -73.93473113932302 40.67399745116084, -73.93499996773616 40.67401945525567))","Intermediate"
"B","316","42","B-16","B270","Indoor","Brownsville Pool","B270","B270-POOL-0020","POLYGON ((-73.90279631072416 40.656359225775525, -73.90274438382139 40.65615719401956, -73.90263825447423 40.65617302268015, -73.9026902011852 40.65637504369441, -73.90279631072416 40.656359225775525))","Intermediate"
"M","164","6","M-13","M010","Outdoor","Lasker Wading Pool","M010-ZN41","M010-POOL-0001","POLYGON ((-73.95471721159421 40.79617731751719, -73.95470720671206 40.796185090302785, -73.95474083688877 40.79621009058187, -73.95490478258435 40.796331967249934, -73.95491257759475 40.7963259117366, -73.95489277830565 40.79629314290659, -73.95486708472463 40.796262830129685, -73.95483600951857 40.796235580539765, -73.95480018032859 40.79621194278303, -73.95476031371243 40.79619239079924, -73.95471721159421 40.79617731751719))","Wading"
"Q","401","22","Q-01","Q004","Outdoor","Astoria Pool","Q004-ZN02","Q004-POOL-0001","POLYGON ((-73.9224621850225 40.779354285278835, -73.92328430029133 40.77869578929343, -73.92284356166994 40.77838909635237, -73.92201384733353 40.779041802856305, -73.9224621850225 40.779354285278835))","Olympic"
"X","226","11","X-13","X092","Outdoor","Van Cortlandt Pool","X092-ZN03","X092-POOL-0021","POLYGON ((-73.89635712834577 40.88982451042231, -73.89579143270824 40.8896724223164, -73.89566416152802 40.889945042903776, -73.89622985919293 40.89009713252616, -73.89635712834577 40.88982451042231))","Olympic"
"B","306","38","B-06","B126","Outdoor","Red Hook Pool","B126","B126-POOL-0010","POLYGON ((-74.00452186829267 40.67268985921969, -74.0034099814875 40.67238579087828, -74.0032554576473 40.6727133487368, -74.00436734920872 40.67301741765912, -74.00452186829267 40.67268985921969))","Olympic"
"M","108","5","M-08","M045","Outdoor","John Jay Pool","M045","M045-POOL-0012","POLYGON ((-73.94906596135907 40.769286856807305, -73.94893786006367 40.769232387177986, -73.948933644243 40.76923132991934, -73.94892926101768 40.7692307912764, -73.948924821716 40.769230783905556, -73.94892043649006 40.76923130965667, -73.94891621432043 40.76923235326944, -73.94891226182668 40.76923388957708, -73.94890867734746 40.76923587990158, -73.94890554975359 40.76923827565521, -73.94890295726546 40.76924101563844, -73.94866602329397 40.76956309698658, -73.94866409242077 40.769564912441915, -73.94866259251675 40.769566950513635, -73.94866156863692 40.769569151788595, -73.94866107548138 40.76957123713505, -73.94866100988749 40.769573355990666, -73.94866137308013 40.76957545612675, -73.94866215680486 40.76957748981295, -73.94866334214863 40.76957940751312, -73.9486649007194 40.76958116418947, -73.94866679583173 40.76958271750192, -73.94866898250412 40.76958403141027, -73.94880298446296 40.76964101005888, -73.94880690772523 40.76964209600837, -73.94881101259531 40.76964267955742, -73.94881518774692 40.76964274444753, -73.94881931947303 40.769642289727635, -73.94882329879412 40.76964132795642, -73.94882701790613 40.76963988339962, -73.9488303749148 40.769637996534634, -73.94883328213248 40.76963571685028, -73.94883565896797 40.76963310734604, -73.94907189992948 40.76931196817356, -73.9490735799009 40.76930831647367, -73.94907441667051 40.76930450050936, -73.94907438409527 40.769300631931586, -73.94907348327229 40.76929682510485, -73.94907174136007 40.76929318990246, -73.94906920920724 40.769289834407346, -73.94906596135907 40.769286856807305))","Large"
"M","108","5","M-08","M045","Outdoor","John Jay Diving Pool","M045","M045-POOL-0011","POLYGON ((-73.94908838108245 40.76956820113714, -73.94898476931863 40.769525629928346, -73.9489811077807 40.76952460083254, -73.94897727413657 40.76952404262376, -73.94897337142099 40.769523971556666, -73.94896950623462 40.76952438767849, -73.94896578281731 40.7695252802293, -73.94896230423505 40.76952662494129, -73.94895916171744 40.76952838673515, -73.94895644295183 40.76953051612211, -73.94886417557501 40.769653565938285, -73.94886298526572 40.76965656318629, -73.94886244277114 40.76965966698116, -73.94886256118198 40.769662797183976, -73.94886333700784 40.76966587184735, -73.94886475135765 40.76966881261906, -73.94886676638714 40.76967154384001, -73.94886933122001 40.76967399344731, -73.94887237839019 40.76967609927628, -73.94897846978597 40.769719689252135, -73.9489838589968 40.76971977088277, -73.94898919777474 40.769719201426824, -73.94899434989489 40.76971799703296, -73.94899918622943 40.76971618646022, -73.94900358474281 40.76971381738137, -73.94900743286688 40.76971094827927, -73.94901063579012 40.76970765115235, -73.94909499814433 40.769588969672384, -73.94909632798236 40.7695862669483, -73.94909703726816 40.769583431576024, -73.94909710461837 40.769580546392426, -73.94909652760076 40.76957769424282, -73.94909532391895 40.76957495798126, -73.94909352786223 40.769572415966756, -73.94909119030635 40.7695701411625, -73.94908838108245 40.76956820113714))","Diving"
"M","103","2","M-03","M088","Outdoor","Tompkins Square Mini Pool","M088","M088-POOL-0020","POLYGON ((-73.98102961490892 40.7268501084808, -73.98096335292091 40.72682112547175, -73.9808907035875 40.726920799773445, -73.98095792930658 40.72694930841513, -73.98102961490892 40.7268501084808))","Mini"
"B","316","41","B-16","B008","Outdoor","Betsy Head Pool","B008","B008-POOL-0001","POLYGON ((-73.91305397810856 40.66334405522291, -73.91284269357513 40.66245165445148, -73.91225673623103 40.662539453322246, -73.91246157530675 40.66343184936131, -73.91305397810856 40.66334405522291))","Olympic"
"M","103","2","M-03","M033","Outdoor","Hamilton Fish Pool","M033","M033-POOL-0006","POLYGON ((-73.98028320426411 40.71950713073773, -73.98016862836815 40.71973346139867, -73.98017985060552 40.719750546001556, -73.98070183244718 40.71990523599564, -73.98072316260485 40.71989755191722, -73.98083773857424 40.71966951334312, -73.98082651761126 40.719651574220606, -73.98030678218096 40.719498593437656, -73.98028320426411 40.71950713073773))","Olympic"
"B","302","35","B-02","B021","Outdoor","Commodore Barry Pool","B021","B021-POOL-0003","POLYGON ((-73.97817496579938 40.69789373133347, -73.978182360187 40.697728895747886, -73.97791072401486 40.69771859970589, -73.97789965575097 40.69788529772905, -73.97817496579938 40.69789373133347))","Intermediate"
"B","302","35","B-02","B021","Outdoor","Commodore Barry Wading Pool","B021","B021-POOL-0002","POLYGON ((-73.97822154908356 40.69762832494219, -73.97822157007431 40.69756406618301, -73.97813469315318 40.69756777423025, -73.97813589578675 40.697631102092046, -73.97822154908356 40.69762832494219))","Wading"
"M","110","9","M-10","M014","Outdoor","Jackie Robinson Pool","M014","M014-POOL-0003","POLYGON ((-73.94310686182752 40.82407026873399, -73.94311366099306 40.824051349068796, -73.94311610068767 40.82403182482104, -73.94311410811244 40.82401227137183, -73.94310774442047 40.82399326506851, -73.94309719406276 40.82397536520932, -73.94308277072813 40.82395909873799, -73.94306489720199 40.82394494672658, -73.9430441018269 40.82393332456312, -73.9430432202211 40.82393291890454, -73.94302209458417 40.82392490936332, -73.94299957858935 40.823919509668485, -73.94297622808213 40.82391685336749, -73.9429526167474 40.82391700557925, -73.94292932899727 40.823919962991, -73.94290693745006 40.823925652045624, -73.9428859934443 40.82393393253952, -73.94286701399534 40.82394460211795, -73.94285046520055 40.82395739536662, -73.9424926154263 40.82443561577149, -73.94249221257375 40.824438135157756, -73.94249235618999 40.82444067102554, -73.94249304159263 40.8244431549347, -73.94249425224245 40.824445521140895, -73.94249595381812 40.82444770479122, -73.94249810250777 40.824449649132575, -73.94250063908586 40.82445130100618, -73.942503496021 40.82445261625408, -73.94273331455524 40.82454993913261, -73.94273577381354 40.82455053468107, -73.9427383317494 40.82455079709507, -73.94274091131514 40.824550720032796, -73.94274343308534 40.82455030525593, -73.9427458235531 40.82454956443433, -73.9427480092008 40.824548521844875, -73.94274992361943 40.82454720627053, -73.94275150987188 40.82454566000632, -73.94310686182752 40.82407026873399))","Olympic"
"M","112","10","M-12A","M037","Outdoor","Highbridge Pool","M037","M037-POOL-0007","POLYGON ((-73.93342483137796 40.84281422622721, -73.93383365295847 40.842260127819515, -73.93330751808688 40.84203518688636, -73.9328998167379 40.84259013867206, -73.93342483137796 40.84281422622721))","Olympic"
"M","106","4","M-06","M164","Outdoor","Asser Levy Pool","M164","M164-POOL-0027","POLYGON ((-73.97557786262983 40.735957039767776, -73.97564447325527 40.73586684640689, -73.97563833155192 40.73585353920451, -73.97530174191161 40.73570970954049, -73.97528823276144 40.735703937088765, -73.9752631153763 40.73570929512074, -73.9752436855724 40.73573597569369, -73.9752629722251 40.73583340397743, -73.97526912491803 40.73583603298068, -73.9755587328874 40.735959786760624, -73.97557786262983 40.735957039767776))","Large"
"M","102","3","M-02","M103","Indoor","Tony Dapolito Pool","M103","M103-POOL-0021","POLYGON ((-74.00559872700639 40.72952479608266, -74.00552307821266 40.72951708778066, -74.00548972298074 40.72970654646834, -74.0055653719856 40.72971425389151, -74.00559872700639 40.72952479608266))","Intermediate"
"M","102","3","M-02","M038","Outdoor","Tony Dapolito Diving Pool","M038","M038-POOL-0010","POLYGON ((-74.00582089119352 40.72954810913845, -74.0056604170352 40.729531251514025, -74.00564312709113 40.72962649284852, -74.00580360265816 40.72964335049674, -74.00582089119352 40.72954810913845))","Diving"
"M","111","9","M-11","M193","Outdoor","Abe Lincoln Mini Pool","M193","M193-POOL-0030","POLYGON ((-73.9371668200064 40.81215772998093, -73.937238881034 40.812059488017155, -73.93717352547496 40.81203014752632, -73.9371009925037 40.81212981828203, -73.9371668200064 40.81215772998093))","Mini"
"M","102","1","M-02","M069","Outdoor","Vesuvio Mini Pool","M069","M069-POOL-0019","POLYGON ((-74.0023518271916 40.72563549362124, -74.00239335451505 40.72558517772356, -74.00227231879069 40.725532164506845, -74.00223008236986 40.72558187883496, -74.0023518271916 40.72563549362124))","Mini"
"M","107","7","M-07","M220","Outdoor","Frederick Douglass Mini Pool","M220","M220-POOL-0031","POLYGON ((-73.96748780474412 40.79694705635478, -73.96756402983885 40.79683949063174, -73.96749517962533 40.79681153773665, -73.9674236438843 40.796922664415234, -73.96748780474412 40.79694705635478))","Mini"
"X","203","15","X-03","X010","Outdoor","Crotona Pool","X010-ZN09","X010-POOL-0015","POLYGON ((-73.89850608445637 40.83955215845824, -73.89850226470615 40.839533907488516, -73.89813746107824 40.83941589854067, -73.89811824863115 40.839424030141274, -73.89767180711026 40.84022058821643, -73.89767854146828 40.840241717074015, -73.89803726135024 40.84035663608335, -73.89805766235733 40.84035069825013, -73.89850608445637 40.83955215845824))","Olympic"
"X","204","16","X-04","X008","Outdoor","Claremont Wading Pool","X008-ZN03","X008-POOL-0013","POLYGON ((-73.90730207966752 40.83894745416947, -73.9072877618188 40.838943672293496, -73.90725666613108 40.839011584155266, -73.90726810619903 40.83901460460502, -73.90735044223561 40.83903634836193, -73.90738153546651 40.83896843737379, -73.90730207966752 40.83894745416947))","Wading"
"X","209","17","X-09","X159","Outdoor","Thompson Mini Pool","X159","X159-POOL-0022","POLYGON ((-73.87783437173262 40.834163407830594, -73.87771080337258 40.8341001827909, -73.87766580657075 40.83415091488472, -73.87778937498223 40.834214139972104, -73.87783437173262 40.834163407830594))","Mini"
"X","212","12","X-12","X165","Outdoor","Edenwald Houses Mini Pool","X165","X165-POOL-0023","POLYGON ((-73.84537287966575 40.88427441562826, -73.84526570120049 40.88420342973505, -73.8452177652027 40.88424587117529, -73.84532960605254 40.884318633719005, -73.84537287966575 40.88427441562826))","Mini"
